Iter	Interp
1	0.905916
2	0.903774
3	0.869555
4	0.899317
5	0.853338
6	0.841872
7	0.844190
8	0.847462
9	0.834332
10	0.941511
Iter	Interp
1	0.949256
2	1.009535
3	0.933127
4	1.015781
5	0.988262
6	0.962274
7	0.943919
8	0.970512
9	0.910452
10	0.953606
Iter	Interp
1	1.442288
2	1.418124
3	1.435951
4	1.452519
5	1.465445
6	1.396690
7	1.398360
8	1.398135
9	1.401828
10	1.401790
