Iter	Interp		Mover		Total
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	0.000000
8	0.000000
9	0.000000
10	0.000000
Iter	Interp		Mover		Total
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	0.000000
8	0.000000
9	0.000000
10	0.000000
Iter	Interp		Mover		Total
1	0.030000
2	0.030000
3	0.020000
4	0.020000
5	0.020000
6	0.020000
7	0.020000
8	0.020000
9	0.020000
10	0.020000
Iter	Interp		Mover		Total
1	2.280000
2	2.270000
3	2.270000
4	2.280000
5	2.280000
6	2.280000
7	2.300000
8	2.280000
9	2.280000
10	2.290000
