Iter	Interp		Mover		Total
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	0.000000
8	0.000000
9	0.000000
10	0.000000
Iter	Interp		Mover		Total
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	0.000000
8	0.000000
9	0.000000
10	0.000000
Iter	Interp		Mover		Total
1	0.030000
2	0.020000
3	0.030000
4	0.020000
5	0.030000
6	0.020000
7	0.030000
8	0.020000
9	0.030000
10	0.030000
Iter	Interp		Mover		Total
1	2.960000
2	2.950000
3	3.690000
4	2.890000
5	2.940000
6	2.920000
7	2.920000
8	2.910000
9	2.880000
10	2.910000
