Iter	Interp		Mover		Total
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	0.000000
8	0.000000
9	0.000000
10	0.000000
Iter	Interp		Mover		Total
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	0.000000
8	0.000000
9	0.000000
10	0.000000
Iter	Interp		Mover		Total
1	0.040000
2	0.040000
3	0.030000
4	0.030000
5	0.030000
6	0.030000
7	0.040000
8	0.030000
9	0.040000
10	0.030000
Iter	Interp		Mover		Total
1	2.530000
2	2.520000
3	2.540000
4	2.550000
5	2.540000
6	2.540000
7	2.540000
8	2.540000
9	2.540000
10	2.560000
