Iter	Interp
1	0.000238
2	0.000014
3	0.000004
4	0.000004
5	0.000005
6	0.000005
7	0.000005
8	0.000006
9	0.000005
10	0.000005
Iter	Interp
1	0.000606
2	0.000353
3	0.000349
4	0.000386
5	0.000322
6	0.000363
7	0.000345
8	0.000331
9	0.000285
10	0.000240
Iter	Interp
1	0.012406
2	0.008629
3	0.008764
4	0.008204
5	0.008211
6	0.008199
7	0.008269
8	0.011885
9	0.009406
10	0.008614
Iter	Interp
1	0.878133
2	0.842932
3	0.862280
4	0.896278
5	0.843077
6	0.841149
7	0.838615
8	0.842841
9	0.840079
10	0.874018
