Iter	Interp
1	0.000608
2	0.000250
3	0.000079
4	0.000033
5	0.000014
6	0.000005
7	0.000005
8	0.000005
9	0.000005
10	0.000004
Iter	Interp
1	0.001415
2	0.000371
3	0.000373
4	0.000368
5	0.000364
6	0.000612
7	0.000600
8	0.000582
9	0.000570
10	0.000607
Iter	Interp
1	0.013764
2	0.008866
3	0.008540
4	0.008917
5	0.008611
6	0.013560
7	0.012272
8	0.013221
9	0.010064
10	0.009804
Iter	Interp
1	0.894934
2	0.892745
3	0.885720
4	0.882707
5	0.979176
6	0.889137
7	0.886528
8	0.893515
9	0.877673
10	0.909843
