Iter	Interp
1	0.000278
2	0.000220
3	0.000154
4	0.000121
5	0.000140
6	0.000054
7	0.000053
8	0.000045
9	0.000040
10	0.000019
Iter	Interp
1	0.001320
2	0.000195
3	0.000300
4	0.000218
5	0.000195
6	0.000187
7	0.000180
8	0.000177
9	0.000177
10	0.000176
Iter	Interp
1	0.017615
2	0.014148
3	0.013678
4	0.014909
5	0.013259
6	0.012892
7	0.013035
8	0.013833
9	0.013001
10	0.015400
Iter	Interp
1	1.438370
2	1.378206
3	1.383728
4	1.386080
5	1.415223
6	1.395124
7	1.409588
8	1.386431
9	1.377128
10	1.426912
